member_casual,hour,rides
casual,16,190936
casual,17,203453
casual,15,169664
casual,18,173471
casual,14,154309
casual,13,148139
casual,12,142007
casual,8,75633
casual,11,120004
casual,19,127888
casual,10,94210
casual,9,76438
casual,20,93546
casual,7,53421
casual,21,77823
casual,22,67926
casual,23,47548
casual,6,28710
casual,1,23577
casual,0,35260
casual,2,14638
casual,5,12105
casual,3,8136
casual,4,6402
member,17,393034
member,16,342922
member,8,255232
member,18,306560
member,15,251089
member,7,200308
member,14,204906
member,13,204557
member,12,204666
member,9,173796
member,19,215048
member,11,178917
member,10,153199
member,6,104009
member,20,150772
member,21,115813
member,22,83935
member,5,34593
member,23,52933
member,0,32743
member,1,20060
member,2,11383
member,4,8711
member,3,7819
