member_casual,month,rides
casual,2024-01,24320
member,2024-01,120127
casual,2024-02,46931
member,2024-02,175837
casual,2024-03,82200
member,2024-03,218966
casual,2024-04,131337
member,2024-04,282983
casual,2024-05,230327
member,2024-05,378248
casual,2024-06,300153
member,2024-06,409400
casual,2024-07,319560
member,2024-07,428278
casual,2024-08,317542
member,2024-08,437259
casual,2024-09,345854
member,2024-09,474282
casual,2024-10,215933
member,2024-10,399755
casual,2024-11,92824
member,2024-11,241910
casual,2024-12,38263
member,2024-12,139960
