member_casual,route,rides
casual,Streeter Dr & Grand Ave → Streeter Dr & Grand Ave,8871
casual,DuSable Lake Shore Dr & Monroe St → DuSable Lake Shore Dr & Monroe St,7161
casual,DuSable Lake Shore Dr & Monroe St → Streeter Dr & Grand Ave,5265
casual,Michigan Ave & Oak St → Michigan Ave & Oak St,4460
casual,Millennium Park → Millennium Park,3185
casual,Dusable Harbor → Dusable Harbor,2960
casual,Streeter Dr & Grand Ave → DuSable Lake Shore Dr & Monroe St,2626
casual,Shedd Aquarium → Streeter Dr & Grand Ave,2387
casual,Shedd Aquarium → DuSable Lake Shore Dr & Monroe St,2186
casual,Dusable Harbor → Streeter Dr & Grand Ave,2158
casual,Montrose Harbor → Montrose Harbor,2141
casual,Shedd Aquarium → Shedd Aquarium,2097
casual,DuSable Lake Shore Dr & North Blvd → DuSable Lake Shore Dr & North Blvd,2071
casual,Streeter Dr & Grand Ave → Millennium Park,1976
casual,Michigan Ave & 8th St → Michigan Ave & 8th St,1961
casual,DuSable Lake Shore Dr & Monroe St → Shedd Aquarium,1952
casual,Streeter Dr & Grand Ave → DuSable Lake Shore Dr & North Blvd,1948
casual,Adler Planetarium → Adler Planetarium,1831
casual,Streeter Dr & Grand Ave → Michigan Ave & Oak St,1811
casual,Theater on the Lake → Theater on the Lake,1799
casual,Buckingham Fountain → Buckingham Fountain,1790
casual,DuSable Lake Shore Dr & Monroe St → Dusable Harbor,1705
casual,Millennium Park → Streeter Dr & Grand Ave,1487
casual,Streeter Dr & Grand Ave → Theater on the Lake,1453
casual,Shedd Aquarium → Millennium Park,1376
casual,Michigan Ave & Oak St → Streeter Dr & Grand Ave,1371
casual,Streeter Dr & Grand Ave → Shedd Aquarium,1279
casual,Ellis Ave & 60th St → Ellis Ave & 55th St,1251
casual,Indiana Ave & Roosevelt Rd → Indiana Ave & Roosevelt Rd,1239
casual,DuSable Lake Shore Dr & North Blvd → Streeter Dr & Grand Ave,1206
casual,Ellis Ave & 55th St → Ellis Ave & 60th St,1098
casual,Dusable Harbor → DuSable Lake Shore Dr & Monroe St,941
casual,New St & Illinois St → New St & Illinois St,920
casual,DuSable Lake Shore Dr & Monroe St → Michigan Ave & Oak St,831
casual,Ellis Ave & 60th St → University Ave & 57th St,816
casual,Adler Planetarium → Streeter Dr & Grand Ave,802
casual,Michigan Ave & Oak St → Theater on the Lake,749
casual,Lakefront Trail & Wilson Ave → Lakefront Trail & Wilson Ave,724
casual,DuSable Lake Shore Dr & Belmont Ave → DuSable Lake Shore Dr & Belmont Ave,724
casual,Theater on the Lake → Streeter Dr & Grand Ave,693
casual,Shore Dr & 55th St → Shore Dr & 55th St,680
casual,Columbus Dr & Randolph St → Columbus Dr & Randolph St,680
casual,University Ave & 57th St → Ellis Ave & 60th St,667
casual,Buckingham Fountain → Streeter Dr & Grand Ave,665
casual,Lakefront Trail & Bryn Mawr Ave → Lakefront Trail & Bryn Mawr Ave,601
casual,DuSable Lake Shore Dr & Diversey Pkwy → DuSable Lake Shore Dr & Diversey Pkwy,572
casual,Chicago Ave & Sheridan Rd → Sheridan Rd & Noyes St (NU),507
casual,Shedd Aquarium → Dusable Harbor,479
casual,DuSable Lake Shore Dr & Monroe St → DuSable Lake Shore Dr & North Blvd,470
casual,Sheridan Rd & Noyes St (NU) → Chicago Ave & Sheridan Rd,458
casual,DuSable Lake Shore Dr & Monroe St → Millennium Park,457
casual,Michigan Ave & Lake St → Michigan Ave & Lake St,444
casual,Michigan Ave & Oak St → DuSable Lake Shore Dr & Monroe St,437
casual,Field Blvd & South Water St → Field Blvd & South Water St,421
casual,Wabash Ave & Grand Ave → Wabash Ave & Grand Ave,412
casual,Streeter Dr & Grand Ave → Wabash Ave & Grand Ave,410
casual,Adler Planetarium → DuSable Lake Shore Dr & Monroe St,385
casual,Field Museum → Field Museum,380
casual,Clark St & Lincoln Ave → Clark St & Lincoln Ave,372
casual,Michigan Ave & 8th St → Millennium Park,341
casual,McClurg Ct & Ohio St → McClurg Ct & Ohio St,341
casual,DuSable Lake Shore Dr & Monroe St → Adler Planetarium,332
casual,Michigan Ave & Washington St → Michigan Ave & Washington St,316
casual,Millennium Park → Shedd Aquarium,280
casual,Lincoln Park Conservatory → Lincoln Park Conservatory,274
casual,Theater on the Lake → Michigan Ave & Oak St,265
casual,DuSable Lake Shore Dr & North Blvd → DuSable Lake Shore Dr & Monroe St,260
casual,Field Museum → DuSable Lake Shore Dr & Monroe St,253
casual,Buckingham Fountain → Millennium Park,251
casual,Blackstone Ave & 59th St → University Ave & 57th St,248
casual,McCormick Place → McCormick Place,248
casual,University Ave & 57th St → Kimbark Ave & 53rd St,246
casual,University Ave & 57th St → Lake Park Ave & 56th St,233
casual,Kimbark Ave & 53rd St → University Ave & 57th St,226
casual,Michigan Ave & Oak St → DuSable Lake Shore Dr & North Blvd,226
casual,Cityfront Plaza Dr & Pioneer Ct → Cityfront Plaza Dr & Pioneer Ct,225
casual,Field Museum → Streeter Dr & Grand Ave,225
casual,Streeter Dr & Grand Ave → Streeter Dr/Grand Ave,218
casual,Streeter Dr & Grand Ave → Fairbanks Ct & Grand Ave,187
casual,Fairbanks Ct & Grand Ave → Fairbanks Ct & Grand Ave,168
casual,Chicago Ave & Sheridan Rd → Chicago Ave & Sheridan Rd,163
casual,Streeter Dr & Grand Ave → Dusable Harbor,160
casual,Michigan Ave & 8th St → Streeter Dr & Grand Ave,155
casual,Michigan Ave & Jackson Blvd → Michigan Ave & Jackson Blvd,153
casual,Benson Ave & Church St → Sheridan Rd & Noyes St (NU),146
casual,Michigan Ave & Washington St → Streeter Dr & Grand Ave,141
casual,Millennium Park → DuSable Lake Shore Dr & Monroe St,137
casual,Field Museum → Millennium Park,128
casual,Streeter Dr/Grand Ave → Streeter Dr & Grand Ave,127
casual,DuSable Lake Shore Dr & Wellington Ave → DuSable Lake Shore Dr & Wellington Ave,126
casual,Streeter Dr & Grand Ave → Michigan Ave & 8th St,125
casual,DuSable Lake Shore Dr & Monroe St → Theater on the Lake,125
casual,Dusable Harbor → DuSable Lake Shore Dr & North Blvd,124
casual,Wabash Ave & Wacker Pl → Wabash Ave & Wacker Pl,119
casual,Lincoln Park Conservatory → Streeter Dr & Grand Ave,110
casual,Burnham Harbor → DuSable Lake Shore Dr & Monroe St,110
casual,Streeter Dr & Grand Ave → Michigan Ave & Washington St,109
casual,Cannon Dr & Fullerton Ave → Cannon Dr & Fullerton Ave,102
casual,Streeter Dr & Grand Ave → LaSalle St & Illinois St,102
casual,Marine Dr & Ainslie St → Marine Dr & Ainslie St,101
casual,Streeter Dr & Grand Ave → Lincoln Park Conservatory,100
casual,Millennium Park → Adler Planetarium,89
casual,Streeter Dr & Grand Ave → Adler Planetarium,87
casual,Calumet Ave & 33rd St → State St & 33rd St,87
casual,Sheridan Rd & Noyes St (NU) → Sheridan Rd & Noyes St (NU),68
casual,Lake Park Ave & 56th St → University Ave & 57th St,60
casual,Shedd Aquarium → Indiana Ave & Roosevelt Rd,59
casual,Fort Dearborn Dr & 31st St* → Fort Dearborn Dr & 31st St*,54
casual,University Ave & 57th St → University Ave & 57th St,53
casual,Wabash Ave & 9th St → Wabash Ave & 9th St,51
casual,Sheridan Rd & Noyes St (NU) → Benson Ave & Church St,50
casual,Adler Planetarium → Indiana Ave & Roosevelt Rd,49
casual,Indiana Ave & Roosevelt Rd → Streeter Dr & Grand Ave,48
casual,Dearborn St & Erie St → Dearborn St & Erie St,45
casual,Stockton Dr & Wrightwood Ave → Stockton Dr & Wrightwood Ave,44
casual,Streeter Dr/Grand Ave → Streeter Dr/Grand Ave,44
casual,Glenwood Ave & Touhy Ave → Greenview Ave & Jarvis Ave,42
casual,Streeter Dr & Grand Ave → Indiana Ave & Roosevelt Rd,42
casual,Clark St & Elm St → Clark St & Elm St,41
casual,Evanston Civic Center → Sheridan Rd & Noyes St (NU),41
casual,Ellis Ave & 60th St → Kimbark Ave & 53rd St,39
casual,Ellis Ave & 55th St → Kimbark Ave & 53rd St,34
casual,Lake Park Ave & 35th St → Lake Park Ave & 35th St,34
casual,Kedzie Ave & Milwaukee Ave → Kosciuszko Park,34
casual,DuSable Lake Shore Dr & Monroe St → Streeter Dr/Grand Ave,29
casual,Damen Ave & Cortland St → Damen Ave & Cortland St,29
casual,State St & Pearson St → Mies van der Rohe Way & Chicago Ave,27
