member_casual,start_station,rides
casual,Streeter Dr & Grand Ave,50903
casual,DuSable Lake Shore Dr & Monroe St,33964
casual,Michigan Ave & Oak St,25005
casual,DuSable Lake Shore Dr & North Blvd,22896
casual,Millennium Park,22485
casual,Shedd Aquarium,20609
casual,Dusable Harbor,18141
casual,Theater on the Lake,16271
casual,Michigan Ave & 8th St,13076
casual,Adler Planetarium,12607
casual,Wells St & Concord Ln,11152
casual,Indiana Ave & Roosevelt Rd,11139
casual,Buckingham Fountain,10766
casual,Wabash Ave & Grand Ave,10171
casual,Michigan Ave & Washington St,10144
casual,Clark St & Elm St,10036
casual,Montrose Harbor,9894
casual,New St & Illinois St,9857
casual,Clark St & Armitage Ave,9529
casual,Kingsbury St & Kinzie St,9355
casual,Field Museum,9329
casual,Clark St & Lincoln Ave,9177
casual,LaSalle St & Illinois St,9105
casual,Wells St & Elm St,9027
casual,Michigan Ave & Lake St,8854
casual,Columbus Dr & Randolph St,7926
casual,McClurg Ct & Ohio St,7559
casual,DuSable Lake Shore Dr & Diversey Pkwy,7341
casual,Wilton Ave & Belmont Ave,6698
casual,Dearborn St & Erie St,6476
casual,DuSable Lake Shore Dr & Belmont Ave,6467
casual,Wells St & Huron St,6359
casual,State St & Chicago Ave,6150
casual,Desplaines St & Kinzie St,5503
casual,Dearborn Pkwy & Delaware Pl,5463
casual,Wells St & Hubbard St,5406
casual,Lincoln Park Conservatory,5391
casual,Broadway & Barry Ave,5380
casual,Clinton St & Madison St,5345
casual,DuSable Lake Shore Dr & Wellington Ave,5270
casual,Clark St & Newport St,4940
casual,Lakeview Ave & Fullerton Pkwy,4721
casual,Michigan Ave & Jackson Blvd,4616
casual,Fairbanks Ct & Grand Ave,4506
casual,Wabash Ave & Roosevelt Rd,4376
casual,Sheffield Ave & Waveland Ave,4300
casual,Halsted St & Fulton St,4179
casual,Larrabee St & Webster Ave,4098
casual,Cityfront Plaza Dr & Pioneer Ct,3906
casual,Wabash Ave & Wacker Pl,3887
casual,Wells St & Evergreen Ave,3881
casual,University Ave & 57th St,3535
casual,Orleans St & Merchandise Mart Plaza,3516
casual,Clark St & Wrightwood Ave,3472
casual,Ellis Ave & 60th St,3416
casual,Canal St & Madison St,3142
casual,Broadway & Cornelia Ave,3078
casual,Sheffield Ave & Fullerton Ave,2978
casual,Clinton St & Washington Blvd,2893
casual,Ashland Ave & Division St,2759
casual,Stockton Dr & Wrightwood Ave,2655
casual,Lakefront Trail & Bryn Mawr Ave,2594
casual,State St & Randolph St,2579
casual,Clark St & Schiller St,2572
casual,Halsted St & Clybourn Ave,2555
casual,Daley Center Plaza,2452
casual,Franklin St & Jackson Blvd,2440
casual,McCormick Place,2393
casual,Clinton St & Jackson Blvd,2365
casual,Federal St & Polk St,2352
casual,Ellis Ave & 55th St,2299
casual,Halsted St & Roscoe St,2201
casual,Rush St & Cedar St,2114
casual,Field Blvd & South Water St,1995
casual,Mies van der Rohe Way & Chestnut St,1981
casual,Damen Ave & Pierce Ave,1980
casual,Clark St & Lake St,1971
casual,Streeter Dr/Grand Ave,1963
casual,Wabash Ave & 9th St,1898
casual,St. Clair St & Erie St,1813
casual,Lincoln Ave & Fullerton Ave,1689
casual,Shore Dr & 55th St,1679
casual,Dearborn St & Monroe St,1615
casual,Pine Grove Ave & Waveland Ave,1572
casual,Canal St & Adams St,1521
casual,Kingsbury St & Erie St,1404
casual,Ravenswood Ave & Lawrence Ave,1337
casual,Clark St & Drummond Pl,1223
casual,State St & Kinzie St,1223
casual,Green St & Madison St,1202
casual,Clinton St & Lake St,1071
casual,Clark St & North Ave,1025
casual,Clark St & Grace St,1011
